Addon name,Category,Author,License,Help,Requirements / Dependencies,Incompatible with,Attribute,Notes
oc_user_map,Information Display,temp1024 / Chris Graham / Kamen Blaginov,Licensed on the same terms as ocPortal,"A main block, which shows a google map with markers of users locations. It adds extra custom profile fields to store members coordinates to store their latitude and logitude. The addon can automatically populate the members when members visit the block page (only supported by browsers that support the HTML 5 Location API, e.g. Firefox). Members can edit their locations in their profile. Coordinates of the Google map centre point and zoom level are also configurable. You can find the coordinates by using the option in Google Maps Labs or via http://itouchmap.com/latlong.html. Title -- The Name of the block which will appear on screen for example Store Locater. Description -- a Description of the block. Width -- Defaults to 100% of the column. Height -- Defaults to 300px but can be set to how ever many pixels (px) you need it to be. Zoom -- A number between 1 and 17, the higher the number the more zoomed in the map will start at.",OCF,,,
oc_whitelist,Admin Utilities,Chris Graham,Licensed on the same terms as ocPortal,"Normally there is a set of Comcode tags that regular users simply cannot use. However, with the ocWhitelist addon you can define a list of special cases, portions of Comcode that are allowed regardless of the limitation on the tag itself. Put each sequence of Comcode on it's own line, and make sure that each line starts and ends with the open/close for the tag that is being whitelisted on. i.e. each line should look like [code=""Comcode""][tag...]...[/tag][/code]
Alternatively you can also use regular expressions (explained here: http://php.net/manual/en/book.pcre.php), if you surround with slashes and encode things appropriately.",,,,
oc_world,Fun and Games,Chris Graham,Licensed on the same terms as ocPortal,"ocWorld is a full zone addon for ocPortal. It adds a ""multi user dungeon"" (MUD) environment where members (players) may interact with each other and construct virtual worlds. The system includes an economy based on points.
There is a very carefully selected feature-set that allows interesting world interactions; quests, adventures, simulations, and other things may all be created by clever use of this feature-set.","pointstore,points",,,
oc_worrdss ,Fun and Games,Chris Graham,GPL,"Block to generate random crosswords, based on meta keywords and top forum posters. The block takes the following parameters, cols (default is 15), rows (default is 15), max_words (default is 15), param (this is a name for the crossword generated; it will cache against this name for the cols/rows/max_words, so that people get a consistent crossword). When staff view the block, a message about the answers is posted. We suggest sites use this block in a competition and award points to the first member to get it. I.e. by posting this within a forum topic where users can reply. Note: The crossword does not have any interactivity and required somewhere for users to reply such as a forum topic. Usage example: [code=""Comcode""][block]main_crossword[/block][/code]",OCF,,Laurynas Butkus,
ocd_stats,Information Display,Chris Graham,Licensed on the same terms as ocPortal,"This addon adds some extra stats to the side stats block, the new stats include Google PageRank, Alexa rank, Back links and Speed results. To use this addon install the addon then add a Side Statistics block as normal. [code=""Comcode""][block]side_stats[/block][/code]",stats_block,,,
ocportal_tutorials,Admin Utilities,Chris Graham,Licensed on the same terms as ocPortal,"Here is a downloadable archive of the version 4.3 documentation. To view this documentation load up the [tt]docs:tutorials[/tt] page-link (i.e. [tt]/docs/index.php?page=tutorials[/tt]). You can also use the Debranding tool from the Admin Zone to make documentation point towards your own install, by setting your own site's base URL as the brand URL. The documentation is primarily maintained on our website, and this archive is only provided for those who wish to view it off-line, or for availability if our website is ever off-line.",,,,
octavius,Fun and Games,Chris Graham,Licensed on the same terms as ocPortal,A Chat bot for your chat room named ocTavius who will interact with your members. Simply install the addon and chat away to ocTavius. Note that ocTavius is only active if there are no more than 2 members in a chat room.,chat,incompatible with XMPP Chat,,
openid,Third Party Integration,Chris Graham,Licensed on the same terms as ocPortal,"This addon adds OpenID login support to ocPortal, so you can log in with, for example, a Google account.

This is based on the work of Martin Conte Mac Donell (OpenID-realselector) and Mewp (LightOpenID)

PHP5 is required, as well as OpenSSL support in PHP.",,,,
plupload,New Features,Chris Graham,GPL,"Replaces swfupload with plupload, which is a better uploader that supports HTML5 and other alternative technologies rather than purely relying on Flash. This addon is implemented on top of the swfupload support, using the same UI.",,,,
pointstore_to_main,New Features,Chris Graham,Licensed on the same terms as ocPortal,Allows pointstore custom products to be bought inside the main eCommerce store (i.e. for real money). This is one way to allow people to sell downloads through ocPortal.,,,,
referrals,New Features,Chris Graham,Licensed on the same terms as ocPortal,"Allows people to specify who referred them when they join your site or other configurable triggers in the system, and defines award levels people can reach. Note that tracking of referrals and award of point is a default part of ocPortal, but referrals are only picked up if made via the recommend module and the new member uses the same address they were recommended to. This addon will allow referrals to be specified explicitly via the URL or typed in manually.

1) Edit the settings in text_custom/referrals.txt (there is an editing link for this on the setup menu)

2) Edit the messages in the referrals.ini language file as required.

3) Probably set up a page on your site explaining the awards you give.
",,,Icon by Titan Creations,
related_members,New Features,Chris Graham,Licensed on the same terms as ocPortal,"Allows using a CPF to group members together (by virtue of a shared CPF value), showing which members are related via a tab in member profiles.

The particular CPF used is defined by the 'RELATED_CPF' language string.",member_directory_boxes,,,
release_compile,Development,Chris Graham,Licensed on the same terms as ocPortal,Compile meta data for a release required for the installer and upgrader intelli-sense functionality.,,,,
reported_content,Development,Chris Graham,Licensed on the same terms as ocPortal,"A new module for reporting content, that can be linked into templates via setting up a URL into that module.

Eventually this addon will probably become a core part of the system, but for now it only exists in non-bundled land without any default integration. It works like the reports posts system in the forum, i.e. actually saves the reports onto the forum in the same way.

I'll give an example for news...

In the [tt]NEWS_ENTRY_SCREEN[/tt] template you'll find the action links are driven by...

[codebox]

{$,Load up the staff actions template to display staff actions uniformly (we relay our parameters to it)...}
{+START,INCLUDE,STAFF_ACTIONS}
1_URL={SUBMIT_URL*}
1_TITLE={$?,{BLOG},{!ADD_NEWS_BLOG},{!ADD_NEWS}}
1_REL=add
1_NOREDIRECT=1
2_URL={EDIT_URL*}
2_ACCESSKEY=q
2_TITLE={!_EDIT_LINK}
2_REL=edit
3_URL={NEWSLETTER_URL*}
3_TITLE={+START,IF_NON_EMPTY,{NEWSLETTER_URL}}{!newsletter:NEWSLETTER_SEND}{+END}
{+END}
[/codebox]

change to:

[codebox]

{$,Load up the staff actions template to display staff actions uniformly (we relay our parameters to it)...}
{+START,INCLUDE,STAFF_ACTIONS}
1_URL={SUBMIT_URL*}
1_TITLE={$?,{BLOG},{!ADD_NEWS_BLOG},{!ADD_NEWS}}
1_REL=add
1_NOREDIRECT=1
2_URL={EDIT_URL*}
2_ACCESSKEY=q
2_TITLE={!_EDIT_LINK}
2_REL=edit
3_URL={NEWSLETTER_URL*}
3_TITLE={+START,IF_NON_EMPTY,{NEWSLETTER_URL}}{!newsletter:NEWSLETTER_SEND}{+END}
4_URL={$PAGE_LINK,_SEARCH:reportcontent:content_type=news:content_id={ID}:url={$SELF_URL&}}
4_TITLE=Report this
{+END}
[/codebox]

So, you are probably thinking: what does [tt]_SEARCH:reportcontent:content_type=download:content_id={ID}:url={$SELF_URL&}[/tt] mean?
 - [tt]_SEARCH[/tt] -- look for the reportcontent module, wherever it is; you could put [tt]site[/tt] instead, it doesn't matter much
 - [tt]reportcontent[/tt] -- our reporting module that does the work
 - [tt]news[/tt] -- the content type; the name of a file in [tt]sources/hooks/systems/content_meta_aware[/tt]
 - [tt]{ID}[/tt] -- content ID; usually it's passed into a template as a parameter named 'ID' like it is here
 - [tt]{$SELF_URL&}[/tt] -- the current URL needs to be passed through
",,,,
simplified_emails,Graphical,Chris Graham,Licensed on the same terms as ocPortal,"Simplifies mail templates, so no logo is shown. If you don't want to have to style your emails at all, use this addon.",,,,
static_export,Development,Chris Graham,Licensed on the same terms as ocPortal,"This admin module exports a static copy of your website, as it would be seen by Guests. It is useful if you do not need any dynamic features and want to deploy on a server without a database. You'll find it linked from your tools menu.",,,,
stress_test,Development,Chris Graham,Licensed on the same terms as ocPortal,"Non-maintained script to populate large amounts of data, for the purposes of stress-testing performance on large data-sets. Takes days to run properly.",,,,
theme_debug,Development,Chris Graham,Licensed on the same terms as ocPortal,Can run a number of fixes to themes to get them up to spec.,,,,
transcoder,Development,Chris Graham,Licensed on the same terms as ocPortal,Simple ocProducts transcoding server. Needs a programmer to install and configure it.,,,,
twitter_support,Third Party Integration,Chris Graham,Licensed on the same terms as ocPortal,"This addon sits on top of the activity feed addon to syndicate out logged activities to the user's associated twitter account (if they have one).

The code is based on 'Twitter class' by 'Tijs Verkoyen'.

PHP5 is required, and the PHP CuRL extension is required.

Set up is a little tricky, you need to set up an application on Twitter, and authorise the site to it via the option on the Admin Zone drop-down menu. Setting up the application is explained by the configuration options.",,,Icon by leslienayibe. Class by Tijs Verkoyen.,
under18s,Development,Chris Graham,Licensed on the same terms as ocPortal,"Example of an implicit usergroup hook, to automatically put all members under 18 into a special usergroup.",,,,
cleanout,Development,Chris Graham,Licensed on the same terms as ocPortal,"Customisable script for erasing all ocPortal data. Useful for undoing a test import on a new site, or removing test data before going live. Only to be used by programmers who understand how to customise the code to specify what to get deleted.",,,,
usergroup_field_match,New Features,Chris Graham,Licensed on the same terms as ocPortal,Puts members in a usergroup if they have a custom profile field chosen list value that matches the name of an open usergroup. A developer could tighten up the rules a bit if more specificity is required.,,,,
utf8,Development,Chris Graham,Licensed on the same terms as ocPortal,Trivial change to make ocPortal run UTF-8 (changes one language string).,,,,
workflows,New Features,Chris Warburton,Licensed on the same terms as ocPortal,"This addon extends the simple yes/no validation system of ocPortal to allows user-defined ""workflows"". A workflow contains an ordered list of ""approval levels"", such as 'design' or 'spelling', and each of these has a list of usergroups which have permission to approve it.

New content enters the default workflow (unless another is specified) and notifications are sent to those users with permission to approve the next level. This continues until all of the levels are approved, at which point the content goes live.

Note that this addon only affects galleries at the moment, and it requires the ""unvalidated"" system to be installed (this comes with ocPortal but may have been uninstalled). Other content types can be added by a programmer as this addon has been implemented in a modular way.",unvalidated,,,
xml_db_manage,Development,Chris Graham,Licensed on the same terms as ocPortal,"Script to help keeping the XML database in sync (auto-detects when it is out of date, and launches a syncing front-end tool).",,,,
xmppchat,Development,Chris Graham,LGPL,"This addon replaces the standard ocPortal chat room with any Jabber chatrooms running on your server. Usage Instructions:
1) You will need a dedicated server; we assume it is Linux and Apache.
2) We assume ocPortal is installed to use MySQL.
3) We assume that users are set up with standard ocPortal password hashing, or md5 hashing, or plain passwords, or vbulletin hashing.
4) Install ejabberd on on your server (it supports builtin BOSH connections -- which are needed for our web interface). Make sure it's not version 1, that has problems.
5) It is important mod_http_bind has been enabled on your ejabberd configuration, as well as mod_muc (they are by default).
6) Edit ejabberd.cfg to enable the mod_muc_log module, setting the save path to be <ocpbasepath>/data_custom/jabber-logs (optional).
7) Install this ocPortal addon to replace ocPortal's normal chat backend with your new XMPP server.
8) Turn on our authentication script by editing ejabberd.cfg.... a) Comment out ""{auth_method, internal}."" b) Add in: ""<ocpbasepath>/data_custom/modules/chat/ejabberd_auth.php"" c) Set execute file permissions on the above referenced script, ""chmod a+x <ocpbasepath>/data_custom/modules/chat/ejabberd_auth.php""
9) In ocPortal you should deny access to Guests to the chat module, they are not supported at this time.
10) Instructions for XMPP usage by users have been placed on the chat lobby screen. Note that as an administrator you now need to manage chat rooms via a normal XMPP client: the admin/CMS chat modules will no longer be functional.
11) You may need to set up Proxy server (we're not sure why, but on some PHP configurations our proxying script does not work). Something similar to the following needs to be in the Apache configuration to workaround the problem: LoadModule proxy_module /usr/lib/apache2/modules/mod_proxy.so LoadModule proxy_http_module /usr/lib/apache2/modules/mod_proxy_http.so ProxyRequests Off ProxyPass /data_custom/xmpp_proxy.php http://<yourdomainname>:5280/http-bind/ Credits: We used xmpp4js to integrate with our chat frontend, and the ocP/jabber authentication was based on lissyx's work.","Dedicated server running ejabberd, chat",,Harlan Iverson,
youtube_channel_integration_block,Third Party Integration,Jason Verhagen,CC0 Public Domain license,"**Important** See http://ocportal.com/forum/topicview/misc/addons/youtube-channel_4.htm for upgrade instructions! Integrate YouTube channels and playlists into your web site. Specify a YouTube channel/username or a playlist ID and some other parameters and you can integrate YouTube videos and video info in your web site. The block can automatically update with new content as it is added to the YouTube channel or playlist. This addon was developed under ocPortal v9.0.19, but should work for all 8.x and 9.x versions of ocPortal. You can get detailed instructions on template usage in the YouTube Channel Integration discussion topic here: http://ocportal.com/forum/topicview/misc/addons/youtube-channel_4.htm",PHP JSON Extension,,,
twitter_feed_integration_block,Third Party Integration,Jason Verhagen,Common Public Attribution License,You can integrate your Twitter feed into your web site using this block. Requires the ocPortal Twitter Support non-bundled addon as well as PHP5 and the PHP CuRL Extension. Get the full documentation here: http://ocportal.com/forum/topicview/misc/addons/twitter-feed_4.htm,"Twitter Support, PHP5, PHP CuRL Extension",,,
calendar_from_6am,Graphical,Chris Graham,Common Public Attribution License,"Only display the calendar week and day views starting from 6am, unless there were events added during the night.",Calendar,,,
directory_protect,Admin Utilities,Chris Graham,Licensed on the same terms as ocPortal,"Protect the files in a directory by routing requests through an ocPortal script. ocPortal will search for the page containing the linked content and only grant access if the current user has access to that page. Developers could customise the code to apply different permission rules.

You will need to add a new rule into your .htaccess file to control the routing. Assuming all the files were under a 'videos' directory:
[code]
RewriteRule ^(videos/.*)$ data_custom/directory_protect.php\?file=$1 [L,QSA]

Put the rule above this part of the ocPortal default:
# Anything that would point to a real file should actually be allowed to do so
RewriteCond %{DOCUMENT_ROOT}/git/$1 -f [OR]
RewriteCond %{DOCUMENT_ROOT}/git/$1 -l [OR]
RewriteCond %{DOCUMENT_ROOT}/git/$1 -d
RewriteRule (.*) - [L]
[/code]
",,,,
content_read_tracking,New Features,Chris Graham,Licensed on the same terms as ocPortal,"New [tt]MARK_READ[/tt] and [tt]HAS_READ[/tt] symbols allow you to track whether members have read any kind of content. Just place them in the appropriate templates. For example, [tt]{+START,IF,{$NOT,{$HAS_READ,news,{ID}}}}This is unread{+END}[/tt] in [tt]NEWS_BOX.tpl[/tt] and [tt]{$MARK_READ,news,{ID}}[/tt] in [tt]NEWS_ENTRY_SCREEN.tpl[/tt].",,,,
downloads_followup_email,New Feature,Jason Verhagen,No License/No copyright asserted,"This addon adds follow-up email functionality to the ocPortal Downloads module. By default it will scan your download_logging database table for downloads for approximately the past 24 hours and send a follow-up email to each member that has downloaded any files. Members can enable, disable, or change the notification type and also do it on a per-category basis from their Profile page->Edit tab->Notifications tab and making the desired changes to the 'Downloads follow-up email' notification in the Content section of the Notifications tab. Admins can force the follow-up emails and/or private topics and prevent the members from changing the settings by making the necessary changes in the Admin Zone->Setup->Notification Lock-down->'Downloads follow-up email' in the Content section. 

If you have any questions ask in the comments here or visit the official documentation and support topic at http://ocportal.com/forum/topicview/misc/addons/downloads-follow-up.htm

Enjoy!",downloads,,,
